pulse_index,soc_at_pulse_start,pulse_current_A,pulse_duration_s,R0,R1,C1,tau1_s,fit_rmse_V
28,0.9054613884958286,0.89904,6.7149999999965075,0.016083822744261195,0.0031314469555094905,3590.520190943629,11.243523520625782,5.693296560239603e-05
36,0.9051490951985998,-11.95325,9.915999999997439,0.009194988810574544,0.0019188831995106382,1582.5532641893603,3.036734870983684,0.0007467657512263725
35,0.9050810448032405,35.99989,9.902000000001863,0.009307528439670231,0.003443746616340007,4348.200281209353,14.974100005583377,0.005847127500297952
32,0.9050034470374906,18.00122,9.909999999996217,0.008201110813600383,0.0037375809371769475,4341.062220860242,16.225071403786263,0.002791534655194793
33,0.9049617971935122,-5.99706,9.890999999995984,0.006661597516116256,0.0024775239121104836,1220.5183708144637,3.023863448862964,0.0004843430093677111
29,0.9048275466106428,5.99956,9.902999999998428,0.006457140190280583,0.004267123284631106,3677.5150317736725,15.69241002166234,0.0012861562270678746
30,0.9047280021212932,-3.00108,9.905999999995402,0.006291068548655894,0.003363849894885106,490.64461084699366,1.6504548226236033,0.0010436554016941856
26,0.9045754247495311,3.00361,9.894999999996799,0.0067818391868450885,0.004665749515930844,3539.487263914733,16.514360988253554,0.001092686578690782
27,0.9044984849999951,-1.51459,9.898000000001048,0.006232709842267913,0.003556253114012898,491.50443144129696,1.7479141648642513,0.0005389121857803334
47,0.8152397630860897,0.89904,56.82700000000477,0.01908702616123922,0.006327815311219469,2655.4604367986885,16.80326321031228,0.00010515853165870576
44,0.8121451016342436,0.89904,23.60899999999674,0.018530877380316668,0.005160484346994088,2828.0054811142495,14.593878018503569,7.638435631753107e-05
41,0.810476415812023,0.89904,6.67500000000291,0.0179636056237761,0.00373122069014381,3575.9681735025947,13.342726436268652,8.83135342217856e-05
49,0.8103369754814573,-11.99667,9.906999999999243,0.0076579584167939295,0.0023746447699939223,1437.3466011804528,3.4131875891617023,0.0007941855262364931
48,0.8102811787305365,35.99989,9.900000000001455,0.009082527752168149,0.004109228494284489,6808.908391387276,27.979360376861358,0.011577765557488563
46,0.8101172713874766,-5.99961,9.921000000002095,0.006125398150879743,0.0025796884592662233,1351.0089107161016,3.4851820953401584,0.0004036870130807764
45,0.8100408867360939,18.00122,9.906000000002678,0.008294993339340303,0.005091464078340513,5662.279639854203,28.829293387836536,0.004539340107943893
42,0.8098484073874866,5.99956,9.901000000005297,0.006288794511597487,0.006412498935461443,3539.028039907464,22.69401353847481,0.0014036582455883252
43,0.8097992919509106,-3.00108,9.892999999996391,0.006517653644687994,0.0033012182200918626,626.1188696255417,2.06695502035116,0.0009399399327232538
39,0.8096201698731337,3.00361,9.885999999998603,0.006275781476290208,0.006887196348753337,3302.8606519621235,22.747449822634604,0.0011327895529190753
40,0.8095135875999859,-1.50693,9.898999999997613,0.006038767560537057,0.0036263144540031574,633.8110304842311,2.298398100951603,0.0004549795671606039
60,0.7212685380166399,0.89904,56.775000000001455,0.0177745150382634,0.005088441384025299,2266.9166230134783,11.535072358676661,0.00010453423051621279
57,0.7182546997133998,0.89904,23.375999999996566,0.017407456842854538,0.004597156024305745,2847.784022238872,13.091707473757074,7.58253343440421e-05
54,0.7166366330184926,0.89649,6.7129999999961,0.01744581646197936,0.003426095257744209,3755.754643198527,12.867573172313266,8.018421729747162e-05
62,0.7164071557684941,-11.99667,9.902999999998428,0.007671295451154348,0.002289045224315245,1460.4803367004479,3.3431055399304817,0.0007699009311008513
61,0.7163330420083012,35.99989,9.90899999999965,0.008909471667830102,0.0036794708300158002,7116.611518292011,26.18536449010991,0.009243207276786677
58,0.7161768122110878,18.00122,9.902000000001863,0.008078896874767361,0.00464173243860406,7086.085834016277,32.89171447848606,0.003693875805853655
59,0.7161537722166404,-5.99706,9.904999999998836,0.0060713082743877175,0.002754904311234149,747.7387054879082,2.05994858342528,0.0015184354986612259
55,0.7160044585346971,5.99956,9.908000000003085,0.005838761509177322,0.006515746582871535,3835.81616131809,24.993206045631755,0.0012713554504662377
56,0.7159073205481217,-3.00108,9.900000000001455,0.006124461860396945,0.0032052218235137857,563.6673295730997,1.8066788259494364,0.0009875019822106522
52,0.7157725332958087,3.00361,9.905000000006112,0.00582299299842523,0.007075539038954245,3408.5765754468,24.1175166268388,0.0011417710201264053
53,0.715671519072659,-1.50182,9.902000000001863,0.006059314698166297,0.0034568589429806074,616.5375177998338,2.131283232089421,0.00047193553022034976
73,0.6272844944050642,0.89904,57.21800000000076,0.01983226552767398,0.006533044891048685,2790.63889606485,18.231369182698213,0.0001167431309356667
70,0.6242941948796041,0.89904,23.59700000000157,0.019643174942160786,0.00539855896954652,3818.6196119634606,20.61504315745159,0.00017131263897050302
67,0.6226640174022917,0.89904,6.605000000003201,0.019087026161238727,0.0039198437537030255,6853.2729353722,26.863759108140716,0.00022640802093387745
75,0.6223181970013616,-11.99922,9.90899999999965,0.0077830058953831886,0.0022846571567820993,1533.8287840270525,3.5042729087057904,0.000728050754105876
74,0.6222903488319127,35.99989,9.913000000000466,0.008937249530484668,0.002905176508381459,129375.79740579883,375.85952737644567,0.014909132156956379
71,0.6222007361726594,18.00122,9.90899999999965,0.008087785161227955,0.0043155968567451,9720.89347108895,41.95145730858543,0.006662487932913273
72,0.6221740369467328,-5.99706,9.894999999996799,0.0064364872120672035,0.0025462948184054083,1382.9076500760268,3.5212905837217865,0.0003926106721804332
68,0.6220394852967366,5.99956,9.9120000000039,0.006202121488909181,0.006692791758571305,5706.681731829291,38.1936324635765,0.001888121326883608
69,0.6219442463504379,-3.00108,9.905999999995402,0.006124461860396797,0.0033698164039719035,603.9229761055938,2.035109551616162,0.0009267697039206021
65,0.6217982247703466,3.00361,9.900999999998021,0.006159255029780817,0.008030406372648105,4430.458301707101,35.57838057978041,0.001053936476219237
66,0.6217054724115512,-1.05229,9.89600000000064,0.00913246348440059,0.005005305361680869,427.60253349746466,2.140281253583183,0.0004571582214224959
86,0.5331852199731213,0.89904,57.296000000002095,0.018141573233671278,0.004647872714071931,3461.7916593107584,16.089966995112267,8.945751674302448e-05
83,0.5302021844184963,0.89904,23.71699999998964,0.016450880939669073,0.003722829513962511,3349.0499920664465,12.46794215420088,7.845166448409551e-05
80,0.5285893814953455,0.89904,6.705000000001746,0.015327460402206939,0.002718144887616095,4123.851736264664,11.209226514214553,6.69213888648588e-05
88,0.5285531503860663,-11.99922,9.900999999998021,0.007951350171094437,0.0023630275687890005,1483.32820866055,3.5051454506272828,0.0007051823595349477
87,0.5282016318508866,35.99989,9.906000000002678,0.008899749415900986,0.003479206500891222,5478.345353096071,19.06029476661907,0.00890238983164072
84,0.5280939510592306,18.00122,9.902000000001863,0.008135004183049823,0.003851485023735184,5582.0396891598875,21.499142264694708,0.003807759490702368
85,0.5280712228717293,-5.99961,9.902000000001863,0.0057303724742108365,0.0024956622146694958,1431.3164929346892,3.572082488650362,0.0003410068088244249
81,0.5279543028860862,5.99956,9.903999999994994,0.006118782044016602,0.0045245686550821436,5485.622889340198,24.8200773787098,0.0010427342549630479
82,0.5278535946809948,-3.00108,9.903000000005704,0.004884908099750796,0.00299615976007799,658.4064474118203,1.9726909035112015,0.0008815415645320994
78,0.5277388391703419,3.00361,9.894999999989523,0.006102656470047769,0.0050095197815494975,4862.567101588589,24.359126084519843,0.0009823410249978676
79,0.5276274076745109,-1.19277,9.90899999999965,0.006640006036369063,0.003678879069374708,551.3197540439561,2.028238703685122,0.0004443529883970637
99,0.43946158901985655,0.89904,56.779000000009546,0.017941359672539573,0.004871797324411444,4010.1545965631904,19.536660434012802,0.00010928153932674232
96,0.43647300581615533,0.89649,23.504000000000815,0.016118417383350705,0.003647202730638295,5000.3465439608435,18.23727756927175,0.0001052799368924747
93,0.4348430252661517,0.89904,6.570999999996275,0.015138369816693746,0.002487283400719404,6468.570878419431,16.089168972269587,9.434538637003489e-05
101,0.4345685730041071,-11.99922,9.898999999990338,0.008148029621925438,0.0023185834204598335,1579.0289700268427,3.6611103903300046,0.0006331047780402776
100,0.4345152333360409,35.99989,9.911999999996624,0.008951138461811963,0.00350721898357549,5579.941457148198,19.570076605750042,0.007201262248821904
97,0.4343845220777319,18.00122,9.904000000009546,0.008068897552499213,0.003830341110679969,5754.101087686115,22.040169951172448,0.003336659337970221
98,0.4343495388379074,-5.99961,9.904000000009546,0.0057587076493305165,0.002411118953377242,1564.8089372077598,3.772940486915728,0.0003094472898043664
94,0.4342224551763346,5.99956,9.894999999989523,0.005808759309016003,0.004439507519792936,5474.699153711049,24.304968061504223,0.001597727690194718
95,0.43412650812448816,-3.00108,9.889999999999418,0.0064043610966717955,0.002814212900569695,707.9595560672902,1.9923489157661625,0.000865768343669043
91,0.4339840303795779,3.00361,9.902000000001863,0.006159255029780817,0.0047068482968192936,5253.905877387078,24.729337930628244,0.0009216046740794792
92,0.43388291316476424,-1.25152,9.889999999999418,0.007271158271541892,0.0033810101295168693,571.9716924202976,1.9338420858699332,0.0004913088753951574
112,0.3454833671327965,0.89904,56.78399999999965,0.018508631429079648,0.005024684952597445,4449.64463672794,22.35806245057281,0.00010931217348527136
109,0.3425186576934529,0.89904,23.686000000001513,0.016628848549563754,0.0036551412717842646,5477.082626607453,20.019510757485467,0.00010430489297857364
106,0.3408926208679871,0.89904,6.801999999996042,0.015327460402206939,0.002501540276518182,7180.766654073188,17.962977001442784,0.00010109783927686007
114,0.34060173731009624,-11.99922,9.90899999999965,0.008063857484069776,0.0023290338609041005,1661.1754642995425,3.8689339052567253,0.0005908880362039391
113,0.34053086701843127,35.99989,9.903000000005704,0.00908224997354159,0.003663090504904767,6220.402034844844,22.785895630530437,0.008534021843836588
110,0.3404112509920626,18.00122,9.915000000008149,0.008302770589993342,0.0039553869394465205,6157.124626865844,24.35381033364969,0.0037348759337862995
111,0.34036665033696123,-5.99961,9.908000000010361,0.005900383524929137,0.00246080982063709,1547.445317153159,3.80796863334937,0.00035485765434606944
107,0.34024941232724726,5.99956,9.898000000001048,0.006285460933801834,0.004445572077763968,6048.514638885031,26.889107790573902,0.0009753669171469382
108,0.3401719012170624,-3.00108,9.895000000004075,0.006234422274647795,0.0027741401944781467,771.517974766279,2.140299024561511,0.0008294078798216208
104,0.34001348873836135,3.00361,9.897000000011758,0.006269122822203915,0.00489821670383633,5306.315179473945,25.99148164791955,0.0009712032031442524
105,0.33993085348465424,-1.23108,9.903999999994994,0.0069776131526788476,0.003563277456491474,521.5631201689993,1.8584741082355487,0.000495953772211122
125,0.2515392326670435,0.89649,56.87200000000303,0.01949826545750643,0.005156343654055955,4007.695415444226,20.66505482281498,8.737727783344917e-05
122,0.24853737421427058,0.89649,23.47300000001269,0.01761313567357134,0.0038564096104245446,4598.731388632627,17.734591922883876,8.284095235615481e-05
119,0.2469024713332525,0.89904,6.5570000000006985,0.01662884854956425,0.002557852336284027,6255.630424753814,16.000978896885982,9.236459558671486e-05
127,0.2466544404985389,-11.99922,9.911999999996624,0.008330541485196524,0.0023139438531851794,1539.7606774609617,3.56291975498704,0.0006835017832043277
126,0.24656649061935987,35.99989,9.903999999994994,0.009475306730103899,0.00378945744259287,5912.655132072498,22.405754995717057,0.01295136889658338
123,0.24645416209483384,18.00122,9.911000000007334,0.008434428333190745,0.00435283330257735,6568.605359812007,28.59204416167778,0.005018512468612459
124,0.24642368086981936,-5.99961,9.89900000000489,0.006800442028731933,0.002356154310787614,1474.9683421875707,3.475253017720505,0.00040282824603216566
120,0.24628182369251128,5.99956,9.896999999997206,0.006538812846275373,0.004929812147658269,6028.925744835894,29.721471374221665,0.0011106822390180918
121,0.2461859237364954,-3.00108,9.910999999992782,0.005671291668332597,0.0029693794920109453,605.5641549419535,1.7981497827815751,0.0009440977417847171
117,0.24602624306750664,3.00361,9.894999999989523,0.006155925702737671,0.005469438269299091,5236.935634040256,28.64309617067588,0.0009710192313773095
118,0.24594115777491898,-1.28216,9.898000000001048,0.007885131340862345,0.003488308707411832,530.2924507819955,1.8498237735375953,0.00047624592389217075
138,0.20761771845084942,0.89904,57.28499999998894,0.019821142552055467,0.005211061750782418,4010.1379712635685,20.897076597411786,9.662467129389828e-05
135,0.20458448178048416,0.89904,23.362999999997555,0.018130450258053262,0.0040288340879844385,4355.415586632069,17.54724678276202,8.283570287362683e-05
132,0.20295541138140705,0.89904,6.710000000006403,0.017563178501512695,0.0028212886048966214,5312.544560703084,14.988221432117138,9.773700846588434e-05
140,0.20264068028234572,-11.99922,9.90700000000652,0.008695565211738771,0.0024241383332655178,1383.3614985612803,3.353459637426031,0.0009082326588888901
139,0.202613697849919,35.99989,9.907999999995809,0.009784474341449367,0.005787430086465883,1930.5833267463104,11.17311602964099,0.02009601263048198
136,0.2025101841193666,18.00122,9.903999999994994,0.008686633461509826,0.004555989875436141,3939.08273927272,17.946421078631772,0.005311109992171505
137,0.20250529185502053,-5.99961,9.898999999990338,0.006322077601710818,0.0024537982520759826,1328.6392689645115,3.2602127158246295,0.0005122733045812165
