soc,ocv_discharge,ocv_charge,ocv_mean,hysteresis_V
0.39,3.633052986065537,3.6536899571336816,3.6433714715996093,0.02063697106814466
0.4,3.6393746252769485,3.6598352347417293,3.649604930009339,0.020460609464780788
0.41000000000000003,3.645691217860327,3.66614262336948,3.6559169206149034,0.02045140550915292
0.42,3.652330322047211,3.672618680624494,3.6624745013358524,0.02028835857728284
0.43,3.659372841087609,3.6794168225980846,3.6693948318428466,0.020043981510475373
0.44,3.666680783190516,3.6864670010184817,3.676573892104499,0.019786217827965746
0.45,3.6743155116188393,3.6938802879659587,3.684097899792399,0.019564776347119395
0.46,3.6823831180808564,3.7017915101372627,3.6920873141090595,0.01940839205640632
0.47000000000000003,3.690746754561301,3.70978943628191,3.700268095421605,0.019042681720609078
0.48,3.699579524562613,3.7184561298512717,3.7090178272069423,0.018876605288658865
0.49,3.7085951441355816,3.727160673397795,3.717877908766688,0.01856552926221333
0.5,3.7178624455121536,3.7361974838191943,3.727029964665674,0.01833503830704064
0.51,3.727143069162453,3.745514723955809,3.7363288965591313,0.018371654793356118
0.52,3.736354338566838,3.7547566022421344,3.7455554704044864,0.018402263675296293
0.53,3.745693473445248,3.764222051394625,3.7549577624199366,0.018528577949377123
0.54,3.7548939938982153,3.7735929819933696,3.7642434879457927,0.018698988095154245
0.55,3.7641717138101427,3.782917410976044,3.773544562393093,0.018745697165901465
0.56,3.774062434457733,3.7922705709558366,3.783166502706785,0.01820813649810349
0.5700000000000001,3.784507178423946,3.801992803992041,3.7932499912079933,0.017485625568095298
0.58,3.79682506155218,3.8118847099849535,3.804354885768567,0.015059648432773631
0.59,3.8120237901912835,3.822837015916306,3.8174304030537947,0.010813225725022413
0.6,3.8287997606998463,3.8353400603409935,3.8320699105204197,0.006540299641147218
0.61,3.8434176771125377,3.8497107959217964,3.846564236517167,0.0062931188092587576
0.62,3.8548294650482218,3.8641087815979343,3.859469123323078,0.00927931654971248
0.63,3.864294061182211,3.8748331288609346,3.8695635950215728,0.01053906767872359
0.64,3.872646879063329,3.8831770659308416,3.877911972497085,0.010530186867512725
0.65,3.880147757722387,3.8901648261600483,3.8851562919412177,0.010017068437661258
0.66,3.8870351453789147,3.8966196983685837,3.8918274218737494,0.009584552989668982
0.67,3.8934096659254425,3.9027478207984325,3.8980787433619373,0.009338154872990057
0.68,3.8995131891428385,3.908544440737631,3.9040288149402347,0.009031251594792344
0.6900000000000001,3.905678228511093,3.914174315231997,3.9099262718715453,0.00849608672090385
0.7000000000000001,3.912013685925583,3.9196839733423077,3.915848829633945,0.007670287416724708
0.71,3.919146509388636,3.925594036355822,3.922370272872229,0.006447526967185979
0.72,3.9269876542952717,3.931732126533832,3.9293598904145517,0.004744472238560338
0.73,3.9356820904126084,3.9388664530040693,3.937274271708339,0.003184362591460932
0.74,3.945460506525038,3.946874974450079,3.9461677404875584,0.001414467925040963
0.75,3.955959037967999,3.9555860199642536,3.9557725289661265,-0.0003730180037453401
0.76,3.9676171748568785,3.965483633388139,3.9665504041225086,-0.0021335414687393417
0.77,3.9798048194215556,3.9761420523803923,3.977973435900974,-0.003662767041163306
0.78,3.9922653977455114,3.9874712596663984,3.989868328705955,-0.004794138079112997
0.79,4.0047365517189375,3.9994554532700413,4.00209600249449,-0.005281098448896238
